"Unit","C_unit","Treatment","timestep"
"A1",15.9517391726268,"CC",0
"A2",21.8710744632401,"LR",0
"A3",19.1431297133199,"CC",0
"A4",20.3646001281017,"NH",0
"B1",8.81562876524458,"NH",0
"B2",32.6376497092978,"HR",0
"B3",13.6786007620908,"HR",0
"B4",11.5865175171167,"CC",0
"B5",6.31244392286226,"LR",0
"C1",19.7769458447934,"NH",0
"C2",23.7690592378258,"HR",0
"C3",36.8977207069049,"LR",0
"D2",28.0853230536637,"CC",0
"D3",47.2913190251725,"NH",0
"D4",45.8489313841985,"HR",0
"D5",55.9871813770962,"LR",0
"A2",1.3800717831109,"LR",1
"A4",16.7446561414898,"NH",1
"B1",6.37708817193211,"NH",1
"B2",1.32919125101114,"HR",1
"B3",2.76827628453618,"HR",1
"B5",4.52157500850134,"LR",1
"C1",13.2140223020363,"NH",1
"C2",2.63416636024254,"HR",1
"C3",11.2864783176617,"LR",1
"D3",42.6013946698616,"NH",1
"D4",6.17881666120842,"HR",1
"D5",5.5402260532818,"LR",1
"A1",0,"CC",1
"A3",0,"CC",1
"B4",0,"CC",1
"D2",0,"CC",1
"A1",0.162502584289448,"CC",18
"A2",10.0610335871935,"LR",18
"A4",6.92591744049927,"NH",18
"B1",13.8801859613546,"NH",18
"B2",7.06971693953519,"HR",18
"B3",4.94873944284613,"HR",18
"B5",6.99566501336559,"LR",18
"C1",10.3939647048504,"NH",18
"C2",10.5445697689234,"HR",18
"C3",10.4077606235054,"LR",18
"D3",54.4121951369734,"NH",18
"D4",5.99782197902847,"HR",18
"D5",9.05538206180394,"LR",18
"A3",0,"CC",18
"B4",0,"CC",18
"D2",0,"CC",18
"A1",3.01114962147791,"CC",26
"A2",4.81032737320609,"LR",26
"A3",7.58825901560301,"CC",26
"A4",11.461459017993,"NH",26
"B1",11.324723867676,"NH",26
"B2",9.09589057368136,"HR",26
"B3",5.97815275558332,"HR",26
"B4",3.84415663416576,"CC",26
"B5",8.54624881058552,"LR",26
"C1",8.67481912936764,"NH",26
"C2",9.5577340094428,"HR",26
"C3",21.2920365310283,"LR",26
"D2",6.32269404521121,"CC",26
"D3",29.4829804898656,"NH",26
"D4",14.2266028986526,"HR",26
"D5",3.84335887177843,"LR",26
