"unit","treatment","timestep","C_unit"
3,"ctrl",0,40.3918212186141
4,"med",0,0
5,"low",0,4.25893827138833
6,"ctrl",0,46.7463180985299
7,"low",0,6.01160329036677
8,"med",0,9.91972298812654
9,"ctrl",0,20.1990273748366
10,"ctrl",0,20.6683502888047
11,"med",0,13.5315860690843
12,"med",0,10.9005186157642
13,"low",0,15.039035041097
14,"low",0,13.3146283876163
15,"med",0,0
16,"ctrl",0,27.2630585062993
17,"ctrl",0,25.4538983959265
18,"med",0,19.9403035988976
19,"low",0,22.8150263325741
20,"ctrl",0,27.8129510683859
24,"low",0,17.5922244453561
3,"ctrl",2,42.8903560025847
4,"med",2,27.632874099918
5,"low",2,4.23917674372545
6,"ctrl",2,48.1392051075632
7,"low",2,6.53054236049862
8,"med",2,11.2289015492949
9,"ctrl",2,22.6852735506147
10,"ctrl",2,23.3052464586664
11,"med",2,15.5869470540463
12,"med",2,11.6249780114826
13,"low",2,17.1016622100254
14,"low",2,15.8006777922405
15,"med",2,14.5869891786727
16,"ctrl",2,0
17,"ctrl",2,0
18,"med",2,0
19,"low",2,0
20,"ctrl",2,32.4149259540464
24,"low",2,17.6542973889617
3,"ctrl",5,45.6883073135041
4,"med",5,27.7135559199422
5,"low",5,5.90828008452551
6,"ctrl",5,52.4115872393131
7,"low",5,10.9541229238212
8,"med",5,14.1437691799929
9,"ctrl",5,25.8166597320274
10,"ctrl",5,25.5109945298991
11,"med",5,14.3355590686824
12,"med",5,13.7627210359684
13,"low",5,20.4561667157403
14,"low",5,19.4089736886853
15,"med",5,17.0424108402296
16,"ctrl",5,0
17,"ctrl",5,0
18,"med",5,0
19,"low",5,0
20,"ctrl",5,36.3494405377679
24,"low",5,20.0477873559543
3,"ctrl",17,45.5168126158533
4,"med",17,31.2611744027604
5,"low",17,17.3422432719239
6,"ctrl",17,66.923812546941
7,"low",17,21.452058404943
8,"med",17,21.8285260493
9,"ctrl",17,36.1010231477467
10,"ctrl",17,36.3579804307023
11,"med",17,29.3841844940588
12,"med",17,23.2251027920391
13,"low",17,26.6551605932753
14,"low",17,32.2625784430907
15,"med",17,27.4815371233323
16,"ctrl",17,53.1890370360175
17,"ctrl",17,39.4631309499472
18,"med",17,42.7611352519569
19,"low",17,59.7483139317164
20,"ctrl",17,53.1286342713973
24,"low",17,30.008267069787
3,"ctrl",27,57.920175615118
4,"med",27,49.2552090502591
5,"low",27,33.7036233354461
6,"ctrl",27,71.891548749491
7,"low",27,37.2855226822356
8,"med",27,30.974592796837
9,"ctrl",27,41.8077811243369
10,"ctrl",27,47.609304111978
11,"med",27,38.9680833876853
12,"med",27,33.8174361451688
13,"low",27,33.3770554063049
14,"low",27,43.2784417070151
15,"med",27,32.4540712061527
16,"ctrl",27,69.7618159900704
17,"ctrl",27,49.4473892997414
18,"med",27,59.0839338816001
19,"low",27,80.4812714057496
20,"ctrl",27,67.0592025878007
24,"low",27,41.8703474961525
