"Unit","C_unit","Treatment","timestep"
"A1",21.933165556854,"CC",0
"A2",10.0252216867786,"LR",0
"A3",29.1600666495807,"CC",0
"A4",31.672986944892,"NH",0
"B1",21.1270467568153,"NH",0
"B2",16.2609242255018,"HR",0
"B3",32.196669700918,"HR",0
"B4",18.5282407985814,"CC",0
"B5",31.0804189468334,"LR",0
"C1",28.332524180362,"NH",0
"C2",36.4795715619129,"HR",0
"C3",20.2097060945506,"LR",0
"D2",17.1986504835506,"CC",0
"D3",28.9427496998128,"NH",0
"D4",11.5791410645378,"HR",0
"D5",7.62991182793521,"LR",0
"A2",11.1793531934961,"LR",1
"A4",29.9365602948897,"NH",1
"B1",28.964019562251,"NH",1
"B2",11.4072992088483,"HR",1
"B3",13.6944264152404,"HR",1
"B5",28.1778260019416,"LR",1
"C1",32.6349994013256,"NH",1
"C2",21.3668289924198,"HR",1
"C3",15.5163848485316,"LR",1
"D3",25.5421946462611,"NH",1
"D4",11.5124529355419,"HR",1
"D5",1.85837081203394,"LR",1
"A1",0,"CC",1
"A3",0,"CC",1
"B4",0,"CC",1
"D2",0,"CC",1
"A1",0.607689439635624,"CC",18
"A2",27.6336820451607,"LR",18
"A3",0.151922359908906,"CC",18
"A4",50.2243273405994,"NH",18
"B1",29.7730030980798,"NH",18
"B2",23.7116682647211,"HR",18
"B3",16.4081733632148,"HR",18
"B4",1.68527423199029,"CC",18
"B5",32.0473223880554,"LR",18
"C1",33.2698418473821,"NH",18
"C2",21.5521128826227,"HR",18
"C3",20.1075951908686,"LR",18
"D3",47.4626701621539,"NH",18
"D4",8.1897254089998,"HR",18
"D5",3.41831270486889,"LR",18
"D2",0,"CC",18
"A1",3.03922764531432,"CC",26
"A2",23.0518485543326,"LR",26
"A3",1.18565695766162,"CC",26
"A4",70.5582649482184,"NH",26
"B1",29.2061794555073,"NH",26
"B2",34.4462860454561,"HR",26
"B3",19.9923154696747,"HR",26
"B4",4.10566855421512,"CC",26
"B5",27.445572876236,"LR",26
"C1",46.2391548630801,"NH",26
"C2",25.7155319653425,"HR",26
"C3",26.7234900606416,"LR",26
"D2",0.391741124461947,"CC",26
"D3",62.768587247772,"NH",26
"D4",12.7871040041865,"HR",26
"D5",4.86137631879301,"LR",26
